year,region,population_estimate_15_over,population_standard_error,population_cov,labor_force_estimate,labor_force_standard_error,labor_force_cov,labor_force_participation_rate_estimate,labor_force_participation_rate_standard_error,labor_force_participation_rate_standard_error_cov,employment_rate,unemployment_rate,poverty_urban,poverty_urban_cov,poverty_urban_standard_error,poverty_rural,poverty_rural_cov,poverty_rural_standard_error,index_crime,index_crime_clear,nonindex_crime,nonindex_crime_clear,crime_sovled_total
2018,ncr,"9,186",,,"5,538",,,60.3,,,93.4,6.6,311.53,11.77,36.67,,,,"14,650","11,105","130,419","120,192","38,216"
2018,car,"1,270",,,786,,,61.9,,,95.9,4.1,25.37,17.98,4.56,188.93,5.59,10.56,"1,159",836,"6,021","4,996","2,349"
2018,1,"3,520",,,"2,172",,,61.7,,,93.2,6.8,68.25,26.23,17.90,441.72,10.04,44.36,"2,910","2,005","28,320","26,397","16,012"
2018,2,"2,403",,,"1,535",,,63.9,,,97,3,75.98,23.09,17.54,503.16,6.73,33.87,"2,389","2,052","9,197","8,921","4,541"
2018,3,"7,889",,,"4,722",,,59.9,,,94.2,5.8,397.07,9.93,39.42,440.84,9.02,39.75,"6,688","5,398","36,315","33,340","15,760"
2018,4a,"10,096",,,"6,328",,,62.7,,,93.4,6.6,508.90,11.09,56.41,603.26,9.99,60.29,"8,312","6,350","38,741","34,492","22,033"
2018,4b,"2,093",,,"1,298",,,62.0,,,95.3,4.7,121.06,15.58,18.87,348.16,7.15,24.89,"1,427","1,210","5,368","4,931","4,511"
2018,5,"4,113",,,"2,503",,,60.9,,,95.1,4.9,222.46,15.69,34.90,"1,413.47",4.22,59.71,"4,934","2,519","20,501","16,915","8,099"
2018,6,"5,459",,,"3,343",,,61.2,,,94.7,5.3,50.87,17.94,9.13,601.72,7.05,42.42,"5,030","3,783","22,870","19,277","11,466"
2018,7,"5,295",,,"3,248",,,61.3,,,94.7,5.3,322.99,12.85,41.50,671.88,8.48,56.98,"13,637","7,155","50,780","42,160","26,750"
2018,8,"3,155",,,"1,932",,,61.2,,,95.8,4.2,109.50,20.37,22.31,"1,312.45",4.13,54.18,"2,894","2,642","7,390","6,975","5,336"
2018,9,"2,617",,,"1,474",,,56.4,,,95.9,4.1,234.77,8.90,20.89,977.18,4.88,47.69,"4,213","1,882","9,523","7,454","5,949"
2018,10,"3,314",,,"2,196",,,66.3,,,95.9,4.1,381.39,6.99,26.65,739.05,5.16,38.14,"3,266","2,042","10,287","8,308","6,729"
2018,11,"3,505",,,"2,113",,,60.3,,,95.7,4.3,449.00,11.00,49.41,525.73,5.38,28.26,"3,791","2,219","9,772","9,037","8,035"
2018,12,"3,150",,,"1,944",,,61.7,,,96.1,3.9,434.13,9.45,41.01,774.81,6.35,49.23,"3,331","1,599","14,551","12,136","8,337"
2018,13,"1,885",,,"1,214",,,64.4,,,95.9,4.1,185.84,9.09,16.89,638.10,3.98,25.38,"1,856","1,204","7,492","6,794","4,706"
