year,region,population_estimate_15_over,employment_rate,unemployment_rate,poverty_urban,poverty_rural,index_crime,nonindex_crime,total_crime_solved,total_crime,total_poverty,poverty_urban_rate,poverty_rural_rate,total_poverty_rate,index_crime_rate,nonindex_crime_rate,total_crime_rate
2018,ncr,9186000.0,93.4,6.6,311530.0,,14650.0,130419.0,38216,145069.0,311530.0,3.3913564119312,,3.3913564119312,0.15948182016111476,1.419758327890268,1.5792401480513825
2018,car,1270000.0,95.9,4.1,25370.0,188930.0,1159.0,6021.0,2349,7180.0,214300.0,1.9976377952755906,14.876377952755906,16.874015748031496,0.09125984251968504,0.47409448818897637,0.5653543307086615
2018,1,3520000.0,93.2,6.8,68250.0,441720.0,2910.0,28320.0,16012,31230.0,509970.0,1.9389204545454546,12.548863636363636,14.487784090909091,0.08267045454545455,0.8045454545454545,0.8872159090909091
2018,2,2403000.0,97.0,3.0,75980.0,503160.0,2389.0,9197.0,4541,11586.0,579140.0,3.1618809821057012,20.938826466916353,24.100707449022053,0.09941739492301291,0.3827299209321681,0.482147315855181
2018,3,7889000.0,94.2,5.8,397070.0,440840.0,6688.0,36315.0,15760,43003.0,837910.0,5.03321079984789,5.588033971352516,10.621244771200406,0.0847762707567499,0.4603245024717962,0.545100773228546
2018,4a,10096000.0,93.4,6.6,508900.0,603260.0,8312.0,38741.0,22033,47053.0,1112160.0,5.040610142630745,5.975237717908082,11.015847860538827,0.0823296354992076,0.3837262282091918,0.46605586370839935
2018,4b,2093000.0,95.3,4.7,121060.0,348160.0,1427.0,5368.0,4511,6795.0,469220.0,5.78404204491161,16.634495938843767,22.418537983755375,0.06817964644051601,0.2564739608217869,0.3246536072623029
2018,5,4113000.0,95.1,4.9,222460.0,1413470.0,4934.0,20501.0,8099,25435.0,1635930.0,5.408704108922927,34.36591295891077,39.7746170678337,0.1199610989545344,0.49844395818137616,0.6184050571359105
2018,6,5459000.0,94.7,5.3,50870.0,601720.0,5030.0,22870.0,11466,27900.0,652590.0,0.9318556512181717,11.022531599193991,11.954387250412163,0.09214141784209562,0.4189411980216157,0.5110826158637113
2018,7,5295000.0,94.7,5.3,322990.0,671880.0,13637.0,50780.0,26750,64417.0,994870.0,6.099905571293673,12.688951841359774,18.78885741265345,0.2575448536355052,0.9590179414542022,1.2165627950897073
2018,8,3155000.0,95.8,4.2,109500.0,1312450.0,2894.0,7390.0,5336,10284.0,1421950.0,3.47068145800317,41.59904912836767,45.06973058637084,0.09172741679873217,0.23423137876386688,0.32595879556259905
2018,9,2617000.0,95.9,4.1,234770.0,977180.0,4213.0,9523.0,5949,13736.0,1211950.0,8.970959113488727,37.33970194879633,46.31066106228506,0.16098586167367215,0.36388995032479937,0.5248758119984714
2018,10,3314000.0,95.9,4.1,381390.0,739050.0,3266.0,10287.0,6729,13553.0,1120440.0,11.508449004224502,22.30084490042245,33.80929390464695,0.09855159927579964,0.3104103802051901,0.4089619794809898
2018,11,3505000.0,95.7,4.3,449000.0,525730.0,3791.0,9772.0,8035,13563.0,974730.0,12.810271041369473,14.999429386590585,27.809700427960056,0.10815977175463623,0.2788017118402283,0.3869614835948645
2018,12,3150000.0,96.1,3.9,434130.0,774810.0,3331.0,14551.0,8337,17882.0,1208940.0,13.781904761904762,24.597142857142856,38.37904761904762,0.10574603174603174,0.4619365079365079,0.5676825396825397
2018,13,1885000.0,95.9,4.1,185840.0,638100.0,1856.0,7492.0,4706,9348.0,823940.0,9.858885941644562,33.851458885941646,43.710344827586205,0.09846153846153846,0.3974535809018568,0.4959151193633952
2018,barmm,2390000.0,96.2,3.8,664460.0,1962570.0,926.0,1433.0,1181,2359.0,2627030.0,27.801673640167362,82.11589958158996,109.91757322175732,0.03874476987447698,0.0599581589958159,0.09870292887029289
2019,ncr,9758000.0,94.0,6.0,,,12695.0,35847.0,36843,48542.0,0.0,,,0.0,0.13009838081574093,0.3673601147776184,0.4974584955933593
2019,car,1210000.0,96.5,3.5,,,230.0,827.0,2332,1057.0,0.0,,,0.0,0.019008264462809916,0.06834710743801653,0.08735537190082646
2019,1,3493000.0,94.7,5.3,,,,,11223,0.0,0.0,,,0.0,,,0.0
2019,2,2393000.0,96.4,3.6,,,,,4299,0.0,0.0,,,0.0,,,0.0
2019,3,8333000.0,94.9,5.1,,,,,18444,0.0,0.0,,,0.0,,,0.0
2019,4a,10737000.0,93.8,6.2,,,,,26133,0.0,0.0,,,0.0,,,0.0
2019,4b,2016000.0,95.7,4.3,,,,,3013,0.0,0.0,,,0.0,,,0.0
2019,5,3886000.0,94.9,5.1,,,,,8029,0.0,0.0,,,0.0,,,0.0
2019,6,5351000.0,95.3,4.7,,,,,11656,0.0,0.0,,,0.0,,,0.0
2019,7,5322000.0,94.8,5.2,,,,,32881,0.0,0.0,,,0.0,,,0.0
2019,8,3084000.0,95.6,4.4,,,,,5051,0.0,0.0,,,0.0,,,0.0
2019,9,2474000.0,96.3,3.7,,,,,6213,0.0,0.0,,,0.0,,,0.0
2019,10,3300000.0,95.6,4.4,,,,,5918,0.0,0.0,,,0.0,,,0.0
2019,11,3493000.0,96.2,3.8,,,,,13373,0.0,0.0,,,0.0,,,0.0
2019,12,3135000.0,95.6,4.4,,,,,8168,0.0,0.0,,,0.0,,,0.0
2019,13,1777000.0,95.2,4.8,,,,,4578,0.0,0.0,,,0.0,,,0.0
2019,barmm,2380000.0,93.7,6.3,,,,,1613,0.0,0.0,,,0.0,,,0.0
2020,ncr,9938000.0,88.3,11.7,,,8501.0,32868.0,32174,41369.0,0.0,,,0.0,0.08554035017106058,0.33073052928154556,0.41627087945260616
2020,car,1226000.0,89.6,10.4,,,637.0,1583.0,1808,2220.0,0.0,,,0.0,0.051957585644371945,0.12911908646003262,0.1810766721044046
2020,1,3545000.0,86.6,13.4,,,1501.0,8768.0,8905,10269.0,0.0,,,0.0,0.04234132581100141,0.2473342736248237,0.2896755994358251
2020,2,2442000.0,91.3,8.7,,,1083.0,11686.0,11349,12769.0,0.0,,,0.0,0.04434889434889435,0.47854217854217856,0.522891072891073
2020,3,8576000.0,86.9,13.1,,,3700.0,22248.0,21244,25948.0,0.0,,,0.0,0.043143656716417914,0.25942164179104477,0.30256529850746267
2020,4a,11097000.0,88.4,11.6,,,4917.0,28301.0,28408,33218.0,0.0,,,0.0,0.04430927277642606,0.2550328917725512,0.29934216454897716
2020,4b,2049000.0,92.7,7.3,,,923.0,3880.0,3889,4803.0,0.0,,,0.0,0.04504636408003904,0.18936066373840899,0.23440702781844805
