TABLE 17.1  Reported Crime Incidents: 2016 to 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Total Crime Incidents,Peace and Order Indicator,,,Public Safety Indicator,,,,,,,,,,,,,,,,,,,,,,
,,Index,Non-Index,Total Peace and Order  Indicator (POI),"RIRs (Vehicular Accidents)
",Other Quasi Offenses,Total Public Safety Indicator (PSI),,,,,,,,,,,,,,,,,,,,
2016,"337,766","131,699","206,067","337,766",…,…,…,,,,,,,,,,,,,,,,,,,,
2017,"295,296","107,653","187,643","295,296",…,…,…,,,,,,,,,,,,,,,,,,,,
2018,"268,185","77,725","190,460","268,185",…,…,…,,,,,,,,,,,,,,,,,,,,
2019,"261,565","68,431","193,134","261,565",…,…,…,,,,,,,,,,,,,,,,,,,,
2020,"394,468","43,912","200,252","244,164","147,646","2,658","150,304",,,,,,,,,,,,,,,,,,,,
2021,"375,731","37,842","188,550","226,392","147,719","1,620","149,339",,,,,,,,,,,,,,,,,,,,
2022,"379,499","39,244","167,899","207,143","170,596","1,760","172,356",,,,,,,,,,,,,,,,,,,,
2023,"391,423","38,671","160,743","199,414","190,412","1,597","192,009",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Index crimes are classified as crime against person and property. These are also considered focus crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
by PNP in 2019 and onwards.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Non-index crimes include all reckless imprudence resulting (RIR) resulting to homicide, physical 
    injury and damage to property incidents, as reported to police. Further, violation of special laws 
    and other non-index crimes are also included.",,,,,,,,,,,,,,,,,,,,,,,,,,,
3. New indicator in Public satety indicator added,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. 2020-2021 data as of January 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. 2022 data as of January 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 2023 data as of 09 January 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Philippine National Police, Crime Information Reporting and Analysis System (CIRAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
