TABLE 17.4  Average Monthly Crime Rate and Total Crime Solved by Region: 2018 to 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,2018 ,,,2019 ,,,2020 ,,,2021 ,,,2022 ,,,2023 ,,,,,,,,,,,,
,Average Monthly Crime Rate,Total Crimes Solved,Crime Solution Efficiency (%),Average Monthly Crime Rate,Total Crimes Solved,Crime Solution Efficiency (%),Average Monthly Crime Rate,Total Crimes Solved,Crime Solution Efficiency (%),Average Monthly Crime Rate,Total Crimes Solved,Crime Solution Efficiency (%),Average Monthly Crime Rate,Total Crimes Solved,Crime Solution Efficiency (%),Average Monthly Crime Rate,Total Crimes Solved,Crime Solution Efficiency (%),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,21.41,"190,010",70.85,19.84,"199,767",76.37,18.52,"200,263",82.02,27.86,"320,029",85.15,15.36,"167,827",81.02,29.02,"348,298",88.98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR,32.07,"38,216",74.54,29.12,"36,843",75.19,24.58,"32,174",77.77,50.49,"78,271",87.35,22.26,"33,571",84.98,63.65,"106,359",94.15,,,,,,,,,,
CAR,16.15,"2,349",68.03,14.59,"2,332",71.03,9.87,"1,808",81.44,5.70,"2,372",78.44,4.09,"1,577",72.71,7.11,"3,131",83.01,,,,,,,,,,
I - Ilocos Region,33.16,"16,012",77.37,20.84,"11,223",81.99,15.63,"8,905",86.72,13.89,"7,337",79.09,8.52,"4,329",76.04,12.57,"7,056",84.01,,,,,,,,,,
II - Cagayan Valley,15.57,"4,541",68.04,12.30,"4,299",77.49,28.31,"11,349",88.88,27.70,"10,890",85.70,10.30,"3,465",73.30,15.43,"5,798",81.93,,,,,,,,,,
III - Central Luzon,16.77,"15,760",67.47,17.25,"18,444",72.94,17.70,"21,244",81.87,25.76,"31,346",81.59,12.23,"14,689",80.56,25.75,"35,081",91.34,,,,,,,,,,
IV-A  CALABARZON,16.51,"22,033",74.58,17.20,"26,133",80.64,17.63,"28,408",85.52,28.19,"46,716",86.50,17.13,"27,225",82.92,27.45,"46,342",88.10,,,,,,,,,,
IV-B MIMAROPA,15.85,"4,511",77.36,10.22,"3,013",76.11,12.40,"3,889",80.97,11.34,"3,263",73.03,9.14,"2,487",69.10,14.15,"4,085",73.30,,,,,,,,,,
V - Bicol Region,19.98,"8,099",56.33,14.99,"8,029",70.72,15.46,"8,781",74.99,20.84,"12,705",79.11,10.94,"5,622",66.69,25.37,"16,113",82.41,,,,,,,,,,
VI - Western Visayas,16.86,"11,466",72.69,14.80,"11,656",79.99,12.59,"10,512",84.75,17.54,"14,647",83.37,11.20,"8,687",77.44,22.81,"19,833",86.79,,,,,,,,,,
VII - Central Visayas,40.68,"26,750",71.59,42.79,"32,881",79.50,33.32,"28,206",87.56,42.39,"37,322",89.55,23.79,"20,347",87.00,43.81,"39,827",92.45,,,,,,,,,,
VIII - Eastern Visayas,13.45,"5,336",71.98,11.99,"5,051",72.57,11.93,"5,344",77.18,15.56,"7,294",79.43,9.89,"4,228",72.40,15.94,"7,669",81.53,,,,,,,,,,
IX - Zamboanga Peninsula,22.85,"5,949",59.61,19.23,"6,213",68.12,13.58,"4,925",76.44,15.93,"6,311",82.10,9.62,"3,359",72.35,17.48,"6,848",81.20,,,,,,,,,,
X - Northern Mindanao,17.77,"6,729",65.05,14.85,"5,918",65.03,15.47,"7,333",77.35,23.64,"12,046",81.73,13.25,"5,793",70.12,23.99,"12,207",81.64,,,,,,,,,,
XI - Davao Region,18.22,"8,035",72.78,24.85,"13,373",84.15,26.10,"14,983",89.76,54.64,"34,090",94.18,38.52,"24,075",94.35,35.82,"22,526",94.93,,,,,,,,,,
XII - SOCCSKSARGEN,20.63,"8,337",71.62,19.11,"8,168",77.05,13.81,"5,716",74.60,18.56,"8,020",76.57,10.37,"4,289",73.25,16.65,"7,041",74.91,,,,,,,,,,
XIII - Caraga ,21.92,"4,706",66.59,19.88,"4,578",67.85,22.69,"5,097",66.19,22.87,"5,497",69.64,14.31,"2,711",54.90,24.25,"6,433",76.87,,,,,,,,,,
BARMM,4.99,"1,181",50.08,5.14,"1,613",60.12,4.49,"1,589",67.91,11.99,"1,902",69.31,10.02,"1,373",59.85,12.48,"1,949",68.24,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021 data as of January 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 data as of January 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 data as of 09 January 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Philippine National Police, Crime Information Reporting and Analysis System (CIRAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
